"","name","state","pop2000","pop2010","pop2017","poverty","unemployment_rate"
"158","Newton County","Arkansas",8608,8330,7828,17.8,3.58
"159","Ouachita County","Arkansas",28790,26120,23868,26,4.57
"160","Perry County","Arkansas",10209,10445,10348,17.8,4.16
"161","Phillips County","Arkansas",26445,21757,18572,33,5.81
"162","Pike County","Arkansas",11303,11291,10726,17.3,4.06
"163","Poinsett County","Arkansas",25614,24583,24154,21.4,4.12
"164","Polk County","Arkansas",20229,20662,20118,26.6,4.49
"165","Pope County","Arkansas",54469,61754,63835,19.8,4.4
"166","Prairie County","Arkansas",9539,8715,8248,16.8,4.05
"167","Pulaski County","Arkansas",361474,382748,393956,17.3,3.38
"168","Randolph County","Arkansas",18195,17969,17557,20.9,4.15
"169","St. Francis County","Arkansas",29329,28258,25930,27.5,5.08
"170","Saline County","Arkansas",83529,107118,119323,8,3
"171","Scott County","Arkansas",10996,11233,10445,20.5,3.41
"172","Searcy County","Arkansas",8261,8195,7938,17.4,4.55
"173","Sebastian County","Arkansas",115071,125744,128107,22.5,3.61
"174","Sevier County","Arkansas",15757,17058,17115,21.2,4.51
"175","Sharp County","Arkansas",17119,17264,17393,23.3,4.92
"176","Stone County","Arkansas",11499,12394,12537,24.2,4.74
"177","Union County","Arkansas",45629,41639,39449,20.1,5.29
"178","Van Buren County","Arkansas",16192,17295,16506,19.6,5.42
"179","Washington County","Arkansas",157715,203065,231996,18,2.53
"180","White County","Arkansas",67165,77076,79016,16.6,4.53
"181","Woodruff County","Arkansas",8741,7260,6571,26,4.85
"182","Yell County","Arkansas",21139,22185,21523,17.8,4
"183","Alameda County","California",1443741,1510271,1663190,11.3,3.64
"184","Alpine County","California",1208,1175,1120,19.8,6.13
"185","Amador County","California",35100,38091,38626,10.6,4.9
"186","Butte County","California",203171,220000,229294,20.5,5.74
"187","Calaveras County","California",40554,45578,45670,12.8,4.73
"188","Colusa County","California",18804,21419,21805,14,14.34
"189","Contra Costa County","California",948816,1049025,1147439,9.8,3.8
"190","Del Norte County","California",27507,28610,27470,23.2,6.43
"191","El Dorado County","California",156299,181058,188987,9.8,4.36
"192","Fresno County","California",799407,930450,989255,25.4,8.47
"193","Glenn County","California",26453,28122,28094,19.6,7.46
"194","Humboldt County","California",126518,134623,136754,20.8,4.19
"195","Imperial County","California",142361,174528,182830,23.8,19.07
"196","Inyo County","California",17945,18546,18026,10.2,4.39
"197","Kern County","California",661645,839631,893119,22.6,9.21
"198","Kings County","California",129461,152982,150101,20.9,8.87
"199","Lake County","California",58309,64665,64246,22.8,5.74
"200","Lassen County","California",33828,34895,31163,14.6,5.58
"201","Los Angeles County","California",9519338,9818605,10163507,17,4.69
"202","Madera County","California",123109,150865,156890,22.1,8.05
"203","Marin County","California",247289,252409,260955,8.1,2.86
"204","Mariposa County","California",17130,18251,17569,15.1,5.9
"205","Mendocino County","California",86265,87841,88018,19.1,4.48
"206","Merced County","California",210554,255793,272673,23.3,9.3
"207","Modoc County","California",9449,9686,8859,18.1,8.05
"208","Mono County","California",12853,14202,14168,9.9,4.44
"209","Monterey County","California",401762,415057,437907,14.7,7.18
"210","Napa County","California",124279,136484,140973,8.2,3.66
"211","Nevada County","California",92033,98764,99814,12.1,4.11
"212","Orange County","California",2846289,3010232,3190400,12.1,3.5
"213","Placer County","California",248399,348432,386166,8.2,3.84
"214","Plumas County","California",20824,20007,18742,13.3,8.87
"215","Riverside County","California",1545387,2189641,2423266,15.6,5.24
"216","Sacramento County","California",1223499,1418788,1530615,16.7,4.64
"217","San Benito County","California",53234,55269,60310,9.7,5.82
"218","San Bernardino County","California",1709434,2035210,2157404,18.2,4.9
"219","San Diego County","California",2813833,3095313,3337685,13.3,4
"220","San Francisco County","California",776733,805235,884363,11.7,2.9
"221","San Joaquin County","California",563598,685306,745424,17.1,6.96
"222","San Luis Obispo County","California",246681,269637,283405,13.8,3.58
"223","San Mateo County","California",707161,718451,771410,7.3,2.68
"224","Santa Barbara County","California",399347,423895,448150,15.4,4.49
"225","Santa Clara County","California",1682585,1781642,1938153,8.6,3.21
"226","Santa Cruz County","California",255602,262382,275897,14.7,5.67
"227","Shasta County","California",163256,177223,179921,18.1,5.8
"228","Sierra County","California",3555,3240,2999,12.3,6.53
"229","Siskiyou County","California",44301,44900,43853,20.7,7.24
"230","Solano County","California",394542,413344,445458,11.5,4.75
"231","Sonoma County","California",458614,483878,504217,10.7,3.36
"232","Stanislaus County","California",446997,514453,547899,17.2,7.47
"233","Sutter County","California",78930,94737,96648,16.7,8.6
"234","Tehama County","California",56039,63463,63926,20.9,6.37
"235","Trinity County","California",13022,13786,12709,19.9,6.03
"236","Tulare County","California",368021,442179,464493,27.1,10.42
"237","Tuolumne County","California",54501,55365,54248,13.6,5.39
"238","Ventura County","California",753197,823318,854223,10.3,4.49
"239","Yolo County","California",168660,200849,219116,19.4,5.01
"240","Yuba County","California",60219,72155,77031,18.5,7.44
"241","Adams County","Colorado",363857,441603,503167,12.2,3.06
"242","Alamosa County","Colorado",14966,15445,16551,27.8,3.43
"243","Arapahoe County","Colorado",487967,572003,643052,9.9,2.78
"244","Archuleta County","Colorado",9898,12084,13315,11.6,3
"245","Baca County","Colorado",4517,3788,3562,19.5,1.64
"246","Bent County","Colorado",5998,6499,5938,24.5,2.7
"247","Boulder County","Colorado",291288,294567,322514,13.1,2.43
"248","Chaffee County","Colorado",16242,17809,19638,9.6,2.33
"249","Cheyenne County","Colorado",2231,1836,1845,11.8,1.75
"250","Clear Creek County","Colorado",9322,9088,9574,6.8,2.61
"251","Conejos County","Colorado",8400,8256,8184,21.1,4.21
"252","Costilla County","Colorado",3663,3524,3776,29.6,3.55
"253","Crowley County","Colorado",5518,5823,5810,24.6,3.09
"254","Custer County","Colorado",3503,4255,4874,15.7,3.03
"255","Delta County","Colorado",27834,30952,30568,16.5,3.89
"256","Denver County","Colorado",554636,600158,704621,15.1,2.75
"257","Dolores County","Colorado",1844,2064,2067,14.1,2.99
"258","Douglas County","Colorado",175766,285465,335299,3.6,2.39
"259","Eagle County","Colorado",41659,52197,54772,7.7,2.32
"260","Elbert County","Colorado",19872,23086,25642,4.8,2.44
"261","El Paso County","Colorado",516929,622263,699232,11.1,3.27
"262","Fremont County","Colorado",46145,46824,47559,15.8,4.29
"263","Garfield County","Colorado",43791,56389,59118,9.6,2.88
"264","Gilpin County","Colorado",4757,5441,6013,5.6,2.03
"265","Grand County","Colorado",12442,14843,15321,13.1,2.24
"266","Gunnison County","Colorado",13956,15324,16939,14.1,2
"267","Hinsdale County","Colorado",790,843,794,12,2.24
"268","Huerfano County","Colorado",7862,6711,6662,14.8,5.74
"269","Jackson County","Colorado",1577,1394,1385,12.8,1.77
"270","Jefferson County","Colorado",527056,534543,574613,7.8,2.63
"271","Kiowa County","Colorado",1622,1398,1376,10.6,1.8
"272","Kit Carson County","Colorado",8011,8270,7158,11.5,1.82
"273","Lake County","Colorado",7812,7310,7778,12.8,2.16
"274","La Plata County","Colorado",43941,51334,55589,9.6,2.45
"275","Larimer County","Colorado",251494,299630,343976,12.4,2.43
"276","Las Animas County","Colorado",15207,15507,14238,17,4.05
"277","Lincoln County","Colorado",6087,5467,5546,14,2.12
"278","Logan County","Colorado",20504,22709,21896,16.8,2.35
"279","Mesa County","Colorado",116255,146723,151616,16,3.98
"280","Mineral County","Colorado",831,712,766,12,1.99
"281","Moffat County","Colorado",13184,13795,13131,10.1,3.32
"282","Montezuma County","Colorado",23830,25535,26140,16.8,4
"283","Montrose County","Colorado",33432,41276,41784,17.8,3.3
"284","Morgan County","Colorado",27171,28159,28192,9.3,2.44
"285","Otero County","Colorado",20311,18831,18326,22.9,4.14
"286","Ouray County","Colorado",3742,4436,4794,10.4,2.88
"287","Park County","Colorado",14523,16206,17905,6.6,2.4
"288","Phillips County","Colorado",4480,4442,4292,8.1,1.66
"289","Pitkin County","Colorado",14872,17148,17890,7.1,3.09
"290","Prowers County","Colorado",14483,12551,12070,18.3,2.62
"291","Pueblo County","Colorado",141472,159063,166475,19.8,4.33
"292","Rio Blanco County","Colorado",5986,6666,6420,11.8,3.86
"293","Rio Grande County","Colorado",12413,11982,11301,18.1,4.33
"294","Routt County","Colorado",19690,23509,25220,10.7,2.38
"295","Saguache County","Colorado",5917,6108,6626,21,4.44
"296","San Juan County","Colorado",558,699,715,3.3,2.23
"297","San Miguel County","Colorado",6594,7359,7967,10.5,2.85
"298","Sedgwick County","Colorado",2747,2379,2344,17,2.22
"299","Summit County","Colorado",23548,27994,30585,10.3,1.86
"300","Teller County","Colorado",20555,23350,24646,7.5,3.24
"301","Washington County","Colorado",4926,4814,4938,9.9,1.93
"302","Weld County","Colorado",180936,252825,304633,11.2,2.67
"303","Yuma County","Colorado",9841,10043,10075,14.3,1.62
"304","Fairfield County","Connecticut",882567,916829,949921,8.8,4.51
"305","Hartford County","Connecticut",857183,894014,895388,11.2,4.84
"306","Litchfield County","Connecticut",182193,189927,182177,6.8,4.31
"307","Middlesex County","Connecticut",155071,165676,163410,7.2,4.05
"308","New Haven County","Connecticut",824008,862477,860435,12.1,5.03
"309","New London County","Connecticut",259088,274055,269033,9.9,4.48
"310","Tolland County","Connecticut",136364,152691,151461,6.5,4
"311","Windham County","Connecticut",109091,118428,116359,11.1,5.02
"312","Kent County","Delaware",126697,162310,176824,13,4.97
"313","New Castle County","Delaware",500265,538479,559793,11.9,4.5
"314","Sussex County","Delaware",156638,197145,225322,12,4.57
"315","District of Columbia","District of Columbia",572059,601723,693972,17.4,6.05
"316","Alachua County","Florida",217955,247336,266944,23.3,3.7
"317","Baker County","Florida",22259,27115,28283,17.2,4.05
"318","Bay County","Florida",148217,168852,183563,15.4,4.09
"319","Bradford County","Florida",26088,28520,27038,18.8,3.61
"320","Brevard County","Florida",476230,543376,589162,13.4,4.24
"321","Broward County","Florida",1623018,1748066,1935878,14,3.87
"322","Calhoun County","Florida",13017,14625,14483,12.9,4.89
"323","Charlotte County","Florida",141627,159978,182033,12,4.61
"324","Citrus County","Florida",118085,141236,145647,17.4,5.78
"325","Clay County","Florida",140814,190865,212230,10.4,3.8
"326","Collier County","Florida",251377,321520,372880,12.8,4.07
"327","Columbia County","Florida",56513,67531,69612,16.8,4.28
"328","DeSoto County","Florida",32209,34862,36862,29.9,4.4
"329","Dixie County","Florida",13827,16422,16673,23.7,4.55
"330","Duval County","Florida",778879,864263,937934,16,4.13
"331","Escambia County","Florida",294410,297619,313512,14.6,4.14
"332","Flagler County","Florida",49832,95696,110510,13.3,4.65
"333","Franklin County","Florida",11057,11549,11727,20.1,3.58
"334","Gadsden County","Florida",45087,46389,46071,24.4,5.31
"335","Gilchrist County","Florida",14437,16939,17743,19.8,4.21
"336","Glades County","Florida",10576,12884,13754,18,5.18
"337","Gulf County","Florida",13332,15863,16160,14.9,3.85
"338","Hamilton County","Florida",13327,14799,14184,26.6,4.75
"339","Hardee County","Florida",26938,27731,27411,24.5,5.54
"340","Hendry County","Florida",36210,39140,40347,25.5,7.25
"341","Hernando County","Florida",130802,172778,186553,14.3,5.13
"342","Highlands County","Florida",87366,98786,102883,18.7,5.62
"343","Hillsborough County","Florida",998948,1229226,1408566,15.7,3.83
"344","Holmes County","Florida",18564,19927,19558,26.6,4.76
"345","Indian River County","Florida",112947,138028,154383,12.7,4.98
"346","Jackson County","Florida",46755,49746,48330,21.6,4.45
"347","Jefferson County","Florida",12902,14761,14144,13.9,4.32
"348","Lafayette County","Florida",7022,8870,8451,17.8,3.72
"349","Lake County","Florida",210528,297052,346017,12.8,4.07
"350","Lee County","Florida",440888,618754,739224,14.9,3.98
"351","Leon County","Florida",239452,275487,290292,20.5,3.86
"352","Levy County","Florida",34450,40801,40355,21.9,4.34
"353","Liberty County","Florida",7021,8365,8242,17.8,4.48
"354","Madison County","Florida",18733,19224,18449,31.9,4.37
"355","Manatee County","Florida",264002,322833,385571,13.4,3.88
"356","Marion County","Florida",258916,331298,354353,17.6,4.96
"357","Martin County","Florida",126731,146318,159923,10.9,4.12
"358","Miami-Dade County","Florida",2253362,2496435,2751796,19,4.82
"359","Monroe County","Florida",79589,73090,77013,12.7,3.31
"360","Nassau County","Florida",57663,73314,82721,11.4,3.8
"361","Okaloosa County","Florida",170498,180822,202970,11.5,3.38
"362","Okeechobee County","Florida",35910,39996,41605,22.3,4.18
"363","Orange County","Florida",896344,1145956,1348975,16.7,3.65
"364","Osceola County","Florida",172493,268685,352180,17.8,4.23
"365","Palm Beach County","Florida",1131184,1320134,1471150,13.4,4.07
"366","Pasco County","Florida",344765,464697,525643,13.6,4.36
"367","Pinellas County","Florida",921482,916542,970637,13.7,3.72
"368","Polk County","Florida",483924,602095,686483,17.3,4.65
"369","Putnam County","Florida",70423,74364,73464,27.6,5.33
"370","St. Johns County","Florida",123135,190039,243812,9.1,3.31
"371","St. Lucie County","Florida",192695,277789,313506,16.6,5.07
"372","Santa Rosa County","Florida",117743,151372,174272,11.3,3.83
"373","Sarasota County","Florida",325957,379448,419119,10.5,3.84
"374","Seminole County","Florida",365196,422718,462659,11.8,3.61
"375","Sumter County","Florida",53345,93420,125165,9.2,6.03
"376","Suwannee County","Florida",34844,41551,44190,20.4,4.26
"377","Taylor County","Florida",19256,22570,21833,16.4,4.5
"378","Union County","Florida",13442,15535,15517,21.4,3.59
"379","Volusia County","Florida",443343,494593,538692,16.1,4.32
"380","Wakulla County","Florida",22863,30776,32120,12.6,3.52
"381","Walton County","Florida",40601,55043,68376,17,3.58
"382","Washington County","Florida",20973,24896,24567,21,4.34
"383","Appling County","Georgia",17419,18236,18521,24.7,5.53
"384","Atkinson County","Georgia",7609,8375,8342,27.4,4.5
"385","Bacon County","Georgia",10103,11096,11319,23.2,4.54
"386","Baker County","Georgia",4074,3451,3200,19.5,6.31
"387","Baldwin County","Georgia",44700,45720,44906,27.8,5.94
"388","Banks County","Georgia",14422,18395,18634,14.3,3.96
"389","Barrow County","Georgia",46144,69367,79061,13.2,4.08
"390","Bartow County","Georgia",76019,100157,105054,14.2,4.61
"391","Ben Hill County","Georgia",17484,17634,16996,30.4,7.86
"392","Berrien County","Georgia",16235,19286,19186,23.7,5.08
"393","Bibb County","Georgia",153887,155547,152862,26.7,5.36
"394","Bleckley County","Georgia",11666,13063,12830,23,6.94
"395","Brantley County","Georgia",14629,18411,18731,21.8,5.8
"396","Brooks County","Georgia",16450,16243,15587,23.6,4.51
"397","Bryan County","Georgia",23417,30233,37060,14.1,4.23
"398","Bulloch County","Georgia",55983,70217,76149,30.4,5
"399","Burke County","Georgia",22243,23316,22522,29.2,7.08
"400","Butts County","Georgia",19522,23655,24059,23.5,4.84
"401","Calhoun County","Georgia",6320,6694,6455,32.2,5.23
"402","Camden County","Georgia",43664,50513,53044,12.7,5.18
"403","Candler County","Georgia",9577,10998,10797,31.5,4.16
"404","Carroll County","Georgia",87268,110527,117812,18.6,5.03
"405","Catoosa County","Georgia",53282,63942,66550,10.8,4.15
"406","Charlton County","Georgia",10282,12171,12715,23.1,5.08
"407","Chatham County","Georgia",232048,265128,290501,17.3,4.5
"408","Chattahoochee County","Georgia",14882,11267,10343,15,7.33
"409","Chattooga County","Georgia",25470,26015,24770,22.5,4.74
"410","Cherokee County","Georgia",141903,214346,247573,9.4,3.74
"411","Clarke County","Georgia",101489,116714,127064,34.1,4.76
"412","Clay County","Georgia",3357,3183,2962,41.4,8.91
"413","Clayton County","Georgia",236517,259424,285153,21.9,5.85
"414","Clinch County","Georgia",6878,6798,6727,39.5,5.52
"415","Cobb County","Georgia",607751,688078,755754,10.9,4.08
"416","Coffee County","Georgia",37413,42356,43014,23.9,5.17
"417","Colquitt County","Georgia",42053,45498,45835,25.4,4.52
"418","Columbia County","Georgia",89288,124053,151579,8.6,4.18
"419","Cook County","Georgia",15771,17212,17277,24.2,4.62
"420","Coweta County","Georgia",89215,127317,143114,11.6,4.2
"421","Crawford County","Georgia",12495,12630,12295,18.1,5
"422","Crisp County","Georgia",21996,23439,22736,31.2,5.22
"423","Dade County","Georgia",15154,16633,16285,17.5,4.4
"424","Dawson County","Georgia",15999,22330,24379,11.8,3.91
"425","Decatur County","Georgia",28240,27842,26716,24.1,5.63
"426","DeKalb County","Georgia",665865,691893,753253,17.6,4.81
"427","Dodge County","Georgia",19171,21796,20730,22.2,6.3
"428","Dooly County","Georgia",11525,14918,13737,23.2,5.13
"429","Dougherty County","Georgia",96065,94565,89502,30.5,6.12
"430","Douglas County","Georgia",92174,132403,143882,14.2,4.89
"431","Early County","Georgia",12354,11008,10296,27.5,5.49
"432","Echols County","Georgia",3754,4034,3936,28.2,3.83
"433","Effingham County","Georgia",37535,52250,59982,9.6,4.12
"434","Elbert County","Georgia",20511,20166,19109,22.4,5.32
"435","Emanuel County","Georgia",21837,22598,22530,29.2,6.7
"436","Evans County","Georgia",10495,11000,10775,26,4.37
"437","Fannin County","Georgia",19798,23682,25322,15.8,4.77
"438","Fayette County","Georgia",91263,106567,112549,6.3,4.08
"439","Floyd County","Georgia",90565,96317,97613,18.1,5.21
"440","Forsyth County","Georgia",98407,175511,227967,6.5,3.75
"441","Franklin County","Georgia",20285,22084,22820,25.4,4.77
"442","Fulton County","Georgia",816006,920581,1041423,16,4.83
"443","Gilmer County","Georgia",23456,28292,30674,18.8,5.01
"444","Glascock County","Georgia",2556,3082,3062,11.5,5.07
"445","Glynn County","Georgia",67568,79626,85282,19.2,4.74
"446","Gordon County","Georgia",44104,55186,57089,18.8,4.64
"447","Grady County","Georgia",23659,25011,24819,25.4,4.9
"448","Greene County","Georgia",14406,15994,17281,21.9,5.15
"449","Gwinnett County","Georgia",588448,805321,920260,12.1,4.23
"450","Habersham County","Georgia",35902,43041,44567,17.2,4.58
"451","Hall County","Georgia",139277,179684,199335,16.1,3.91
